id,latitude,longitude,photo_url,access,amenity,armrest,backrest,bench:type,capacity,check_date,circumference,colour,denotation,description,direction,ele,ele:ellipsoid,ele:geoid,fixme,genus,height,highway,image,indoor,inscription,lamp_mount,layer,leaf_cycle,leaf_type,level,light:count,light:lit,light:shape,lit,location,mapillary,mapillary:SW,mapillary:W,material,name,name:cs,name:en,natural,note,note:ele,outdoor_seating,panoramax,ref,seats,shelter,sides,source,source:amenity,source:position,species,species:wikidata,start_date,support,survey,survey:date,two_sided
1179767156,48.8344078,2.3318296,,,bench,,yes,,,2021-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bing,,,,,,,,,
1179767379,48.8343773,2.3318884,,,bench,,yes,,,2021-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,bing,,,,,,,,,
1188300026,48.8943446,2.2444136,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202443442,48.8622873,2.3343842,,,bench,,no,,,2021-12-02,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202443614,48.8620274,2.3339571,,,bench,,no,,,2021-12-02,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202444233,48.8610641,2.3333414,,,bench,,no,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202445272,48.8622606,2.3343531,,,bench,,no,,,2021-12-02,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202445972,48.8619976,2.3337949,,,bench,,no,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,,,,,,,,,,
1202446486,48.8619195,2.3335781,,,bench,,no,,,2022-04-25,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202447527,48.8621856,2.3342654,,,bench,,no,,,2021-12-02,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202447651,48.8621093,2.3341739,,,bench,,no,,,2021-12-02,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202448168,48.8610858,2.3333141,,,bench,,no,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202448894,48.8612130,2.3332141,,,bench,,no,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202449017,48.8608811,2.3333659,,,bench,,no,,,2023-08-31,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202450402,48.8619635,2.3336827,,,bench,,no,,,2021-12-02,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202451004,48.8609084,2.3333829,,,bench,,no,,,2023-08-31,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202451740,48.8608024,2.3333169,,,bench,,no,,,2023-08-31,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202452337,48.8622110,2.3342946,,,bench,,no,,,2021-12-02,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202452857,48.8623363,2.3344445,,,bench,,no,,,2021-12-02,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202453108,48.8620231,2.3339156,,,bench,,no,,,2021-12-02,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202453988,48.8612415,2.3331972,,,bench,,no,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202455867,48.8621347,2.3342032,,,bench,,no,,,2021-12-02,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202455994,48.8619759,2.3337185,,,bench,,no,,,2021-12-02,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202456619,48.8620069,2.3338355,,,bench,,no,,,2021-12-02,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202457140,48.8611609,2.3332471,,,bench,,no,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202457265,48.8608303,2.3333339,,,bench,,no,,,2023-08-31,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202458176,48.8623642,2.3344747,,,bench,,no,,,2021-12-02,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202458301,48.8619368,2.3336139,,,bench,,no,,,2021-12-02,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1202458866,48.8611373,2.3332669,,,bench,,no,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1252379316,48.8388314,2.3896868,,,bench,,yes,,,2021-01-03,,green,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,survey,,,,,,,,2023-09-27,
1265469898,48.8178831,2.3207779,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265469913,48.8178483,2.3213343,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265469928,48.8178159,2.3213127,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265469953,48.8180321,2.3201090,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265469954,48.8178388,2.3213744,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265469999,48.8176886,2.3212119,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265470009,48.8179928,2.3200927,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291172723,48.8431692,2.3127228,,,bench,,yes,,,2021-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345678311,48.8864724,2.3248425,,,bench,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345684953,48.8853340,2.3271479,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345684955,48.8865796,2.3246830,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345684956,48.8856946,2.3275147,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345684957,48.8854389,2.3273189,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345684958,48.8854208,2.3272834,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345684960,48.8853732,2.3272103,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345684961,48.8856651,2.3275744,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345684962,48.8853573,2.3271741,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345684963,48.8865584,2.3246320,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345684964,48.8856885,2.3274765,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380928179,48.8635212,2.3548186,,,bench,,yes,,,2021-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,
1381893912,48.8536359,2.3531409,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1411160053,48.8276485,2.2346040,,,bench,,yes,,,2021-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,
1411160064,48.8278203,2.2348498,,,bench,,yes,,,2021-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,
1411160065,48.8278299,2.2349846,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,
1411160069,48.8278792,2.2349211,,,bench,,yes,,,2021-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,
1411160077,48.8278711,2.2348613,,,bench,,yes,,,2021-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,
1411160095,48.8280481,2.2351252,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,
1411160105,48.8280771,2.2351604,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,
1411160121,48.8281799,2.2352988,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,
1429604997,48.8363596,2.2809678,,,bench,,yes,,,2022-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,
1439854227,48.8597885,2.3387650,,,bench,,no,,,2022-03-22,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1439854231,48.8598288,2.3386151,,,bench,,no,,,2022-03-22,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1439854232,48.8599042,2.3391076,,,bench,,no,,,2022-03-22,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1439854234,48.8599686,2.3379896,,,bench,,no,,,2022-03-22,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1439854236,48.8599978,2.3378565,,,bench,,no,,,2022-03-22,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1439854237,48.8600039,2.3391566,,,bench,,no,,,2022-03-22,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1439854239,48.8602353,2.3376837,,,bench,,no,,,2022-03-22,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1439854240,48.8603326,2.3377343,,,bench,,no,,,2024-07-29,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1439854241,48.8604134,2.3393753,,,bench,,no,,,2022-03-22,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1439854243,48.8605050,2.3394196,,,bench,,no,,,2022-03-22,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1439854251,48.8607305,2.3379413,,,bench,,no,,,2024-07-29,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1439854253,48.8607384,2.3392453,,,bench,,no,,,2022-03-22,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1439854255,48.8607716,2.3391030,,,bench,,no,,,2022-03-22,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1439854256,48.8608290,2.3379926,,,bench,,no,,,2022-03-22,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1439854260,48.8609095,2.3384821,,,bench,,no,,,2022-03-22,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1439854261,48.8609437,2.3383429,,,bench,,no,,,2022-03-22,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,bing,,,,,,,,,
1463897942,48.8351721,2.2411471,,,bench,,no,,,2022-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,
1465261186,48.8357110,2.2413489,,,bench,,no,,,2022-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,
1465261193,48.8357639,2.2414094,,,bench,,no,,,2022-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,
1465261211,48.8358064,2.2413464,,,bench,,no,,,2022-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,
1476820952,48.8386677,2.3065876,,,bench,,yes,,,2021-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,
1489177579,48.8914158,2.3933740,,,bench,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489177590,48.8914454,2.3932139,,,bench,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491919394,48.8977321,2.2544966,,,bench,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491919408,48.8977933,2.2544900,,,bench,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491919411,48.8978626,2.2544511,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491919423,48.8978744,2.2543726,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491919425,48.8976179,2.2544792,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504098321,48.8669214,2.3113344,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
